"ID_Immobile_cantiere","rif_cantiere","nome_cantiere","cantiere","stato_cantiere","agenzia","referente_cantiere","Indirizzo","coordinate","n_immobili","ID_Immobile","Rif","Stato_Immobile","Stato_trattativa","Richiesta","Macro_Tipologia","in_pubblicita","Tipologia","Sub_Tipologia","MQ_Commerciali_da","N_Bagni","N_Camere_da_Letto","Giardino","Ultimo_Agg_Prezzo","avanzamento_lavori","Inizio_Lavori","Consegna","classe_energetica"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46949","64-23k","Pubblicato",,"285000","Appartamento","In Pubblicità","Appartamento","Bilocale","73","1","1","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46951","64-23l","Pubblicato",,"355000","Appartamento","In Pubblicità","Appartamento","Trilocale","91","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46953","64-23m","Pubblicato",,"296000","Appartamento","In Pubblicità","Appartamento","Bilocale","74","1","1","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46955","64-23n","Pubblicato",,"360000","Appartamento","In Pubblicità","Appartamento","Trilocale","90","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46957","64-23o","Pubblicato",,"416000","Appartamento","In Pubblicità","Appartamento","Trilocale","104","2","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46959","64-23p","Pubblicato",,"416000","Appartamento","In Pubblicità","Appartamento","Trilocale","104","2","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46961","64-23q","Incarico (Non Pubblicato)",,"406000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","104","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46963","64-23r","Pubblicato",,"491000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","126","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46965","64-23s","Pubblicato",,"412000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","103","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46967","64-23t","Pubblicato",,"508000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","127","2","3","Condominiale",NULL,,NULL,NULL,"A4"
